period,stateid,stateDescription,sectorid,sectorName,price,price-units
2022-10,US,U.S. Total,ALL,all sectors,12.66,cents per kilowatthour
2022-10,US,U.S. Total,TRA,transportation,11.81,cents per kilowatthour
2022-10,US,U.S. Total,RES,residential,15.99,cents per kilowatthour
2022-10,US,U.S. Total,OTH,other,,cents per kilowatthour
2022-10,US,U.S. Total,IND,industrial,8.45,cents per kilowatthour
2022-10,US,U.S. Total,COM,commercial,12.89,cents per kilowatthour
2022-09,US,U.S. Total,ALL,all sectors,13.31,cents per kilowatthour
2022-09,US,U.S. Total,TRA,transportation,12.57,cents per kilowatthour
2022-09,US,U.S. Total,RES,residential,16.19,cents per kilowatthour
2022-09,US,U.S. Total,OTH,other,,cents per kilowatthour
2022-09,US,U.S. Total,IND,industrial,9.06,cents per kilowatthour
2022-09,US,U.S. Total,COM,commercial,13.28,cents per kilowatthour
2022-08,US,U.S. Total,OTH,other,,cents per kilowatthour
2022-08,US,U.S. Total,RES,residential,15.82,cents per kilowatthour
2022-08,US,U.S. Total,TRA,transportation,12.9,cents per kilowatthour
2022-08,US,U.S. Total,ALL,all sectors,13.44,cents per kilowatthour
2022-08,US,U.S. Total,COM,commercial,13.41,cents per kilowatthour
2022-08,US,U.S. Total,IND,industrial,9.38,cents per kilowatthour
2022-07,US,U.S. Total,ALL,all sectors,13.12,cents per kilowatthour
2022-07,US,U.S. Total,TRA,transportation,12.39,cents per kilowatthour
2022-07,US,U.S. Total,RES,residential,15.31,cents per kilowatthour
2022-07,US,U.S. Total,OTH,other,,cents per kilowatthour
2022-07,US,U.S. Total,IND,industrial,9.31,cents per kilowatthour
2022-07,US,U.S. Total,COM,commercial,13.02,cents per kilowatthour
2022-06,US,U.S. Total,ALL,all sectors,12.75,cents per kilowatthour
2022-06,US,U.S. Total,TRA,transportation,12.1,cents per kilowatthour
2022-06,US,U.S. Total,RES,residential,15.3,cents per kilowatthour
2022-06,US,U.S. Total,OTH,other,,cents per kilowatthour
2022-06,US,U.S. Total,IND,industrial,8.85,cents per kilowatthour
2022-06,US,U.S. Total,COM,commercial,12.75,cents per kilowatthour
2022-05,US,U.S. Total,ALL,all sectors,11.98,cents per kilowatthour
2022-05,US,U.S. Total,TRA,transportation,10.79,cents per kilowatthour
2022-05,US,U.S. Total,RES,residential,14.89,cents per kilowatthour
2022-05,US,U.S. Total,OTH,other,,cents per kilowatthour
2022-05,US,U.S. Total,IND,industrial,8.25,cents per kilowatthour
2022-05,US,U.S. Total,COM,commercial,12,cents per kilowatthour
2022-04,US,U.S. Total,RES,residential,14.57,cents per kilowatthour
2022-04,US,U.S. Total,OTH,other,,cents per kilowatthour
2022-04,US,U.S. Total,IND,industrial,7.7,cents per kilowatthour
2022-04,US,U.S. Total,COM,commercial,11.82,cents per kilowatthour
2022-04,US,U.S. Total,ALL,all sectors,11.56,cents per kilowatthour
2022-04,US,U.S. Total,TRA,transportation,11.26,cents per kilowatthour
2022-03,US,U.S. Total,ALL,all sectors,11.48,cents per kilowatthour
2022-03,US,U.S. Total,TRA,transportation,10.87,cents per kilowatthour
